index,hub,latitude,longitude,invest,capacity
1,17201,33.64844,-95.56841,3476219,300000
2,17218,33.64124,-96.60666,3476219,300000
3,17359,29.3199,-96.10283,3476219,300000
4,17372,30.75623,-98.6777,3476219,300000
5,17395,30.84636,-96.98711,3476219,300000
6,17404,27.78539,-97.48694,3476219,300000
7,17447,29.15865,-95.43123,3476219,300000
8,17466,32.61514,-99.81358,3476219,300000
9,17507,30.63113,-97.66856,3476219,300000
10,17592,32.09099,-96.46175,3476219,300000
11,17620,33.85992,-98.59059,3476219,300000
12,17679,28.80078,-96.99545,3476219,300000
13,17717,31.31149,-96.89577,3476219,300000
14,17784,33.80926,-98.20263,3476219,300000
15,17792,33.57332,-96.17934,3476219,300000
16,17822,31.05457,-97.44847,3476219,300000
17,17829,29.57347,-95.77679,3476219,300000
18,17896,32.01159,-97.60146,3476219,300000
19,17931,33.63246,-97.14212,3476219,300000
20,17934,32.66522,-98.11879,3476219,300000
21,17942,27.22154,-97.79276,3476219,300000
22,17943,28.30487,-97.27077,3476219,300000
23,17945,34.16258,-99.28511,3476219,300000
24,17952,31.83528,-99.42767,3476219,300000
25,18029,28.79749,-96.04837,3476219,300000
26,18042,29.67922,-96.90505,3476219,300000
27,18063,31.52763,-97.1561,3476219,300000
28,18082,28.97925,-96.64108,3476219,300000
29,18127,28.03355,-97.50889,3476219,300000
30,18286,31.52048,-96.53385,3476219,300000
31,18288,31.46407,-96.05569,3476219,300000
32,18294,32.73281,-96.27324,3476219,300000
33,18303,31.12247,-97.89691,3476219,300000
