index,plant,latitude,longitude,tech,invest,capacity,yield
1,541,30.220353,-97.740436,1,130956797,152063705,232
2,542,29.676724,-98.635234,1,130956797,152063705,232
3,543,33.760315,-96.559867,1,130956797,152063705,232
4,544,29.53192,-98.286901,1,130956797,152063705,232
5,545,29.688568,-98.562424,1,130956797,152063705,232
6,546,29.575785,-98.029915,1,130956797,152063705,232
7,9039,29.3881,-95.0559,1,130956797,152063705,232
8,9040,29.594168,-96.486668,1,130956797,152063705,232
9,9041,29.231944,-95.188889,1,130956797,152063705,232
10,9043,29.424167,-95.190834,1,130956797,152063705,232
11,9044,29.090834,-95.36,1,130956797,152063705,232
12,9045,29.473984,-95.449242,1,130956797,152063705,232
13,9046,32.8,-97.108334,1,130956797,152063705,232
14,9047,32.211517,-96.792923,1,130956797,152063705,232
15,9048,29.756582,-94.904278,1,130956797,152063705,232
16,9049,29.741944,-95.026667,1,130956797,152063705,232
17,9050,29.705,-95.015556,1,130956797,152063705,232
18,9051,29.671667,-94.916667,1,130956797,152063705,232
19,9053,30.060556,-94.058611,1,130956797,152063705,232
20,9054,30.028925,-94.124053,1,130956797,152063705,232
21,9055,30.012792,-94.027201,1,130956797,152063705,232
22,9056,30.073997,-94.071716,1,130956797,152063705,232
23,9057,29.993334,-94.169167,1,130956797,152063705,232
24,9059,30.058333,-94.044444,1,130956797,152063705,232
25,9060,30.508894,-96.709831,1,130956797,152063705,232
26,9061,29.834444,-95.104167,1,130956797,152063705,232
27,9062,29.818522,-95.126783,1,130956797,152063705,232
28,9063,30.58227,-96.25317,1,130956797,152063705,232
29,9064,30.31874,-95.43542,1,130956797,152063705,232
30,9065,30.315556,-95.384722,1,130956797,152063705,232
31,9066,30.2366824,-95.4661326,1,130956797,152063705,232
32,9067,29.8796,-95.0739,1,130956797,152063705,232
33,9069,32.765335,-96.800463,1,130956797,152063705,232
34,9070,32.712289,-96.856592,1,130956797,152063705,232
35,9071,32.6889,-96.7296,1,130956797,152063705,232
36,9072,32.744603,-96.965072,1,130956797,152063705,232
37,9074,32.790571,-96.810466,1,130956797,152063705,232
38,9075,32.715541,-96.68755,1,130956797,152063705,232
39,9076,32.684168,-96.718334,1,130956797,152063705,232
40,9077,32.77694,-96.8725,1,130956797,152063705,232
41,9078,32.680834,-96.630001,1,130956797,152063705,232
42,9079,32.812656,-96.842743,1,130956797,152063705,232
43,9080,32.7388,-96.98243,1,130956797,152063705,232
44,9081,29.720194,-95.113333,1,130956797,152063705,232
45,9083,29.722222,-95.116389,1,130956797,152063705,232
46,9084,33.190001,-97.075834,1,130956797,152063705,232
47,9085,31.186014,-94.798904,1,130956797,152063705,232
48,9086,29.4424,-95.0346,1,130956797,152063705,232
49,9087,30.344167,-94.052222,1,130956797,152063705,232
50,9088,33.154957,-96.328903,1,130956797,152063705,232
51,9089,32.549,-96.68,1,130956797,152063705,232
52,9090,32.77778,-97.45,1,130956797,152063705,232
53,9091,32.82532,-97.52565,1,130956797,152063705,232
54,9092,32.769958,-97.433907,1,130956797,152063705,232
55,9093,28.986111,-95.407778,1,130956797,152063705,232
56,9094,28.933403,-95.336403,1,130956797,152063705,232
57,9095,28.969389,-95.379528,1,130956797,152063705,232
58,9096,28.973056,-95.3425,1,130956797,152063705,232
59,9097,29.5559,-95.4419,1,130956797,152063705,232
60,9098,29.57,-95.20333,1,130956797,152063705,232
61,9099,33.1425,-96.835,1,130956797,152063705,232
62,9100,29.73575,-95.222733,1,130956797,152063705,232
63,9101,32.935001,-96.583334,1,130956797,152063705,232
64,9102,32.301231,-97.787659,1,130956797,152063705,232
65,9103,32.77166,-96.95,1,130956797,152063705,232
66,9104,32.720356,-97.038517,1,130956797,152063705,232
67,9105,33.06805,-96.063988,1,130956797,152063705,232
68,9106,32.7887,-97.2389,1,130956797,152063705,232
69,9107,32.0193817,-97.1359377,1,130956797,152063705,232
70,9108,29.625389,-95.604711,1,130956797,152063705,232
71,9109,29.643956,-95.407658,1,130956797,152063705,232
72,9110,29.797693,-95.21108,1,130956797,152063705,232
73,9111,29.669,-95.372,1,130956797,152063705,232
74,9113,29.751739,-95.351298,1,130956797,152063705,232
75,9114,29.753595,-95.278458,1,130956797,152063705,232
76,9115,29.7625,-95.171389,1,130956797,152063705,232
77,9116,29.722222,-95.233333,1,130956797,152063705,232
78,9117,29.76777,-95.33166,1,130956797,152063705,232
79,9118,29.827501,-95.243334,1,130956797,152063705,232
80,9119,29.759722,-95.18,1,130956797,152063705,232
81,9120,29.562763,-95.091797,1,130956797,152063705,232
82,9121,29.72467,-95.639854,1,130956797,152063705,232
83,9122,29.79833,-95.34778,1,130956797,152063705,232
84,9123,29.789722,-95.269444,1,130956797,152063705,232
85,9124,29.879,-95.266,1,130956797,152063705,232
86,9125,29.7511265,-95.3518173,1,130956797,152063705,232
