index,county,hub,distance,cost
1,48001,17201,219.609,40.5806912
2,48001,17218,264.7658,47.66127744
3,48001,17359,370.675,64.26784
4,48001,17372,420.0082,72.00328576
5,48001,17395,199.2915,37.3949072
6,48001,17404,586.2101,98.06374368
7,48001,17447,351.2873,61.22784864
8,48001,17466,473.636,80.4121248
9,48001,17507,317.2614,55.89258752
10,48001,17592,107.0523,22.93180064
11,48001,17620,395.8357,68.21303776
12,48001,17679,434.5027,74.27602336
13,48001,17717,160.8565,31.3682992
14,48001,17784,355.5345,61.8938096
15,48001,17792,229.9203,42.19750304
16,48001,17822,261.3243,47.12165024
17,48001,17829,325.0833,57.11906144
18,48001,17896,246.384,44.7790112
19,48001,17931,278.6034,49.83101312
20,48001,17934,301.2357,53.37975776
21,48001,17942,646.2735,107.4816848
22,48001,17943,503.3451,85.07051168
23,48001,17945,467.3279,79.42301472
24,48001,17952,438.9728,74.97693504
25,48001,18029,430.1641,73.59573088
26,48001,18042,334.187,58.5465216
27,48001,18063,200.4268,37.57292224
28,48001,18082,457.0887,77.81750816
29,48001,18127,541.8782,91.11250176
30,48001,18286,112.9181,23.85155808
31,48001,18288,66.4859,16.57098912
32,48001,18294,131.9234,26.83158912
33,48001,18303,307.1059,54.30020512
34,48003,17201,747.3265,123.3267952
35,48003,17218,675.2179,112.0201667
36,48003,17359,894.8721,146.4619453
37,48003,17372,472.3265,80.2067952
38,48003,17395,666.8258,110.7042854
39,48003,17404,845.2465,138.6806512
40,48003,17447,992.826,161.8211168
41,48003,17466,302.8691,53.63587488
42,48003,17507,611.5075,102.030376
43,48003,17592,663.5818,110.1956262
44,48003,17620,513.9163,86.72807584
45,48003,17679,824.6559,135.4520451
46,48003,17717,655.1965,108.8808112
47,48003,17784,552.9229,92.84431072
48,48003,17792,685.7776,113.6759277
49,48003,17822,608.3105,101.5290864
50,48003,17829,898.0245,146.9562416
51,48003,17896,524.9949,88.46520032
52,48003,17931,630.3894,104.9910579
53,48003,17934,457.6318,77.90266624
54,48003,17942,905.3099,148.0985923
55,48003,17943,815.2705,133.9804144
56,48003,17945,486.6333,82.45010144
57,48003,17952,380.0428,65.73671104
58,48003,18029,934.9395,152.7445136
59,48003,18042,777.0872,127.993273
60,48003,18063,608.6455,101.5816144
61,48003,18082,836.3419,137.2844099
62,48003,18127,812.458,133.5394144
63,48003,18286,671.684,111.4660512
64,48003,18288,747.9466,123.4240269
65,48003,18294,637.7638,106.1473638
66,48003,18303,562.9864,94.42226752
67,48005,17201,318.7267,56.12234656
68,48005,17218,403.9225,69.481048
69,48005,17359,301.4863,53.41905184
70,48005,17372,503.6256,85.11449408
71,48005,17395,301.3256,53.39385408
72,48005,17404,557.667,93.5881856
73,48005,17447,278.7422,49.85277696
74,48005,17466,624.3127,104.0382314
75,48005,17507,400.1453,68.88878304
76,48005,17592,234.6358,42.93689344
77,48005,17620,546.384,91.8190112
78,48005,17679,414.5507,71.14754976
79,48005,17717,239.2727,43.66395936
80,48005,17784,506.0829,85.49979872
81,48005,17792,339.7401,59.41724768
82,48005,17822,358.5791,62.37120288
83,48005,17829,255.8946,46.27027328
84,48005,17896,436.7391,74.62669088
85,48005,17931,423.7311,72.58703648
86,48005,17934,451.9124,77.00586432
87,48005,17942,617.7304,103.0061267
88,48005,17943,474.802,80.5949536
89,48005,17945,617.8762,103.0289882
90,48005,17952,591.2028,98.84659904
91,48005,18029,357.619,62.2206592
92,48005,18042,362.6217,63.00508256
93,48005,18063,350.6713,61.13125984
94,48005,18082,369.4779,64.08013472
95,48005,18127,513.3351,86.63694368
96,48005,18286,219.5136,40.56573248
97,48005,18288,176.0414,33.74929152
98,48005,18294,265.1308,47.71850944
99,48005,18303,404.3607,69.54975776
100,48007,17201,734.7132,121.3490298
101,48007,17218,672.2483,111.5545334
102,48007,17359,199.1753,37.37668704
103,48007,17372,437.292,74.7133856
104,48007,17395,337.4537,59.05874016
105,48007,17404,75.7476,18.02322368
106,48007,17447,215.3154,39.90745472
107,48007,17466,683.2015,113.2719952
108,48007,17507,352.0482,61.34715776
109,48007,17592,505.5552,85.41705536
110,48007,17620,751.0748,123.9145286
111,48007,17679,93.7976,20.85346368
112,48007,17717,395.8944,68.22224192
113,48007,17784,710.7737,117.5953162
114,48007,17792,682.9849,113.2380323
115,48007,17822,400.0364,68.87170752
116,48007,17829,243.8153,44.37623904
117,48007,17896,500.6967,84.65524256
118,48007,17931,661.4715,109.8647312
119,48007,17934,636.9479,106.0194307
120,48007,17942,163.8018,31.83012224
121,48007,17943,61.189,15.7404352
122,48007,17945,822.5671,135.1245213
123,48007,17952,578.2502,96.81563136
124,48007,18029,144.5249,28.80750432
125,48007,18042,194.0519,36.57333792
126,48007,18063,416.4074,71.43868032
127,48007,18082,130.6353,26.62961504
128,48007,18127,73.879,17.7302272
129,48007,18286,439.3812,75.04097216
130,48007,18288,460.2145,78.3076336
131,48007,18294,609.6869,101.7449059
132,48007,18303,423.5027,72.55122336
133,48009,17201,327.5551,57.50663968
134,48009,17218,228.1417,41.91861856
135,48009,17359,654.2674,108.7351283
136,48009,17372,395.073,68.0934464
137,48009,17395,414.4713,71.13509984
138,48009,17404,861.1441,141.1733949
139,48009,17447,689.497,114.2591296
140,48009,17466,212.7411,39.50380448
141,48009,17507,452.7058,77.13026944
142,48009,17592,318.3862,56.06895616
143,48009,17620,44.0161,13.04772448
144,48009,17679,654.4744,108.7675859
145,48009,17717,369.3084,64.05355712
146,48009,17784,71.9776,17.43208768
147,48009,17792,269.4914,48.40225152
148,48009,17822,396.7687,68.35933216
149,48009,17829,620.8712,103.4986042
150,48009,17896,276.899,49.5637632
151,48009,17931,175.1794,33.61412992
152,48009,17934,155.3788,30.50939584
153,48009,17942,921.2076,150.5913517
154,48009,17943,723.3168,119.5620742
155,48009,17945,90.597,20.3516096
156,48009,17952,243.8272,44.37810496
157,48009,18029,694.3348,115.0176966
158,48009,18042,554.1587,93.03808416
159,48009,18063,335.8712,58.81060416
160,48009,18082,677.0604,112.3090707
161,48009,18127,813.0085,133.6257328
162,48009,18286,367.319,63.7416192
163,48009,18288,402.751,69.2973568
164,48009,18294,280.9207,50.19436576
165,48009,18303,442.5503,75.53788704
166,48011,17201,616.5401,102.8194877
167,48011,17218,517.1267,87.23146656
168,48011,17359,976.8985,159.3236848
169,48011,17372,655.9941,109.0058749
170,48011,17395,737.1024,121.7236563
171,48011,17404,1183.7753,191.761967
172,48011,17447,1012.1282,164.8477018
173,48011,17466,382.2074,66.07612032
174,48011,17507,775.337,127.7188416
175,48011,17592,641.0173,106.6575126
176,48011,17620,329.0669,57.74368992
177,48011,17679,977.1056,159.3561581
178,48011,17717,691.9395,114.6421136
179,48011,17784,360.9626,62.74493568
180,48011,17792,558.4764,93.71509952
181,48011,17822,719.3999,118.9479043
182,48011,17829,943.5023,154.0871606
183,48011,17896,614.9998,102.5779686
184,48011,17931,464.1644,78.92697792
185,48011,17934,498.9766,84.38553088
186,48011,17942,1243.8387,201.1799082
187,48011,17943,1045.948,170.1506464
188,48011,17945,248.7742,45.15379456
189,48011,17952,485.4388,82.26280384
190,48011,18029,1016.9659,165.6062531
191,48011,18042,876.7898,143.6266406
192,48011,18063,658.5023,109.3991606
193,48011,18082,999.6915,162.8976272
194,48011,18127,1135.6396,184.2142893
195,48011,18286,689.9502,114.3301914
196,48011,18288,725.3821,119.8859133
197,48011,18294,603.5518,100.7829222
198,48011,18303,765.1815,126.1264592
199,48013,17201,691.3848,114.5551366
200,48013,17218,628.9198,104.7606246
201,48013,17359,338.5774,59.23493632
202,48013,17372,242.1606,44.11678208
203,48013,17395,331.0326,58.05191168
204,48013,17404,183.7239,34.95390752
205,48013,17447,436.5313,74.59410784
206,48013,17466,488.0702,82.67540736
207,48013,17507,260.1943,46.94446624
208,48013,17592,462.2268,78.62316224
209,48013,17620,707.7464,117.1206355
210,48013,17679,215.6749,39.96382432
211,48013,17717,379.4243,65.63973024
212,48013,17784,667.4452,110.8014074
213,48013,17792,639.6564,106.4441235
214,48013,17822,308.1824,54.46900032
215,48013,17829,341.7298,59.72923264
216,48013,17896,428.8055,73.3827024
217,48013,17931,618.143,103.0708224
218,48013,17934,593.6194,99.22552192
219,48013,17942,243.7873,44.37184864
220,48013,17943,177.6149,33.99601632
221,48013,17945,779.2386,128.3306125
222,48013,17952,383.1189,66.21904352
223,48013,18029,378.6448,65.51750464
224,48013,18042,220.7925,40.766264
225,48013,18063,373.342,64.6860256
226,48013,18082,260.5725,47.003768
227,48013,18127,163.5643,31.79288224
228,48013,18286,429.8568,73.54754624
229,48013,18288,455.9963,77.64621984
230,48013,18294,566.3585,94.9510128
231,48013,18303,331.6487,58.14851616
232,48015,17201,557.2534,93.52333312
233,48015,17218,494.456,83.6767008
234,48015,17359,80.5699,18.77936032
235,48015,17372,323.7018,56.90244224
236,48015,17395,140.2804,28.14196672
237,48015,17404,352.855,61.473664
238,48015,17447,169.5273,32.72788064
239,48015,17466,544.3924,91.50672832
240,48015,17507,199.5408,37.43399744
241,48015,17592,310.3169,54.80368992
242,48015,17620,573.2826,96.03671168
243,48015,17679,201.1476,37.68594368
244,48015,17717,202.8603,37.95449504
245,48015,17784,532.9814,89.71748352
246,48015,17792,505.1926,85.36019968
247,48015,17822,247.529,44.9585472
248,48015,17829,73.6817,17.69929056
249,48015,17896,303.5234,53.73846912
250,48015,17931,483.6792,81.98689856
251,48015,17934,459.1556,78.14159808
252,48015,17942,412.9184,70.89160512
253,48015,17943,269.99,48.480432
254,48015,17945,644.7748,107.2466886
255,48015,17952,439.4411,75.05036448
256,48015,18029,154.042,30.2997856
257,48015,18042,100.8318,21.95642624
258,48015,18063,219.2341,40.52190688
259,48015,18082,158.4712,30.99428416
260,48015,18127,308.5231,54.52242208
261,48015,18286,221.6613,40.90249184
262,48015,18288,228.1011,41.91225248
263,48015,18294,431.2826,73.77111168
264,48015,18303,270.9953,48.63806304
265,48017,17201,739.9206,122.1655501
266,48017,17218,640.5072,106.577529
267,48017,17359,973.9239,158.8572675
268,48017,17372,639.9678,106.492951
